goos: linux
goarch: amd64
pkg: nextgen
cpu: 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=32-16       	32771738	        35.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=5000/keysize=32-16                                 	 4800957	       287.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=5000/keysize=64-16                        	 8579004	       137.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=64-16       	31799523	        43.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=5000/keysize=64-16                                 	 4294342	       337.0 ns/op	      39 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=5000/keysize=128-16                       	 8708768	       140.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=128-16      	20283682	        61.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=5000/keysize=128-16                                	 5486870	       304.9 ns/op	      39 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=5000/keysize=256-16                       	 6312368	       178.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=256-16      	24648379	        49.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=5000/keysize=256-16                                	 3786925	       307.6 ns/op	      39 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=50000/keysize=16-16                       	 5877974	       244.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=16-16      	34480104	        34.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=50000/keysize=16-16                                	 5290294	       366.4 ns/op	      40 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=50000/keysize=32-16                       	 5920658	       237.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=32-16      	29867808	        35.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=50000/keysize=32-16                                	 5305947	       247.4 ns/op	      40 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=50000/keysize=64-16                       	 3439430	       340.3 ns/op	       1 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=64-16      	20910626	        93.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=50000/keysize=64-16                                	 4620043	       239.3 ns/op	      41 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=50000/keysize=128-16                      	 7742382	       403.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=128-16     	30525162	        39.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=50000/keysize=128-16                               	 3640920	       376.3 ns/op	      41 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=50000/keysize=256-16                      	 2619706	       601.5 ns/op	       1 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=256-16     	26268765	        47.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=50000/keysize=256-16                               	 3757662	       324.6 ns/op	      41 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=100000/keysize=16-16                      	 8201509	       169.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=16-16     	33391270	        44.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=100000/keysize=16-16                               	 4198298	       269.7 ns/op	      42 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=100000/keysize=32-16                      	 8480058	       145.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=32-16     	29198739	        66.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=100000/keysize=32-16                               	 4652162	       255.4 ns/op	      42 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=100000/keysize=64-16                      	 6837373	       169.6 ns/op	       1 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=64-16     	27111079	        59.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=100000/keysize=64-16                               	 1000000	      1104 ns/op	      50 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=100000/keysize=128-16                     	 6035041	       187.0 ns/op	       1 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=128-16    	29056717	        42.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=100000/keysize=128-16                              	 1879765	       741.0 ns/op	      45 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=100000/keysize=256-16                     	 1816962	       575.8 ns/op	       4 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=256-16    	22001277	        48.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=100000/keysize=256-16                              	 2845365	       390.6 ns/op	      43 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500000/keysize=16-16                      	 3950502	       353.8 ns/op	      15 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=16-16     	15316714	       154.1 ns/op	       4 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500000/keysize=16-16                               	 2265985	       445.2 ns/op	      72 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500000/keysize=32-16                      	 4489275	       290.2 ns/op	      13 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=32-16     	29378062	        42.39 ns/op	       2 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500000/keysize=32-16                               	 1771706	       753.0 ns/op	      81 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500000/keysize=64-16                      	 5444426	       221.5 ns/op	      11 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=64-16     	21829750	        59.58 ns/op	       2 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500000/keysize=64-16                               	 2250522	       461.6 ns/op	      72 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500000/keysize=128-16                     	 4358304	       271.5 ns/op	      14 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=128-16    	12942057	        86.85 ns/op	       4 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500000/keysize=128-16                              	 2233303	       568.1 ns/op	      73 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500000/keysize=256-16                     	 3316668	       370.1 ns/op	      18 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=256-16    	 7320273	       168.1 ns/op	       8 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500000/keysize=256-16                              	 2033637	       586.4 ns/op	      76 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=1000000/keysize=16-16                     	 2474451	       417.0 ns/op	      50 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=16-16    	21114369	        51.65 ns/op	       5 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=1000000/keysize=16-16                              	 1242886	       836.1 ns/op	     158 B/op	       4 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=1000000/keysize=32-16                     	 4478836	       293.9 ns/op	      27 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=32-16    	19453056	        51.98 ns/op	       6 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=1000000/keysize=32-16                              	 1463775	       979.7 ns/op	     140 B/op	       4 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=1000000/keysize=64-16                     	 4226236	       273.4 ns/op	      29 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=64-16    	12064107	        98.56 ns/op	      10 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=1000000/keysize=64-16                              	 1525346	       655.6 ns/op	     136 B/op	       4 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=1000000/keysize=128-16                    	 1965201	       564.9 ns/op	      63 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=128-16   	15533002	        79.05 ns/op	       7 B/op	       0 allocs/op
