goos: linux
goarch: amd64
pkg: nextgen
cpu: 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=5000/keysize=256-16                       	 8545894	       135.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=256-16      	27380818	        58.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=5000/keysize=256-16                                	35118062	        35.66 ns/op	      71 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=50000/keysize=16-16                       	 7317502	       150.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=16-16      	34028844	        34.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=50000/keysize=16-16                                	39251570	        30.44 ns/op	      72 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=50000/keysize=32-16                       	 8373447	       145.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=32-16      	33260378	        35.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=50000/keysize=32-16                                	39517694	        31.94 ns/op	      72 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=50000/keysize=64-16                       	 7517372	       163.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=64-16      	26854372	        37.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=50000/keysize=64-16                                	37994576	        32.12 ns/op	      72 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=50000/keysize=128-16                      	 6107792	       200.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=128-16     	25790204	        44.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=50000/keysize=128-16                               	31338681	        39.43 ns/op	      72 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=50000/keysize=256-16                      	 6352574	       207.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=256-16     	20316584	        52.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=50000/keysize=256-16                               	27300840	        37.52 ns/op	      72 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=100000/keysize=16-16                      	 8012836	       154.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=16-16     	28128319	        36.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=100000/keysize=16-16                               	31151214	        33.38 ns/op	      72 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=100000/keysize=32-16                      	 7895097	       151.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=32-16     	30302654	        36.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=100000/keysize=32-16                               	27130504	        37.40 ns/op	      72 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=100000/keysize=64-16                      	 6652480	       172.2 ns/op	       1 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=64-16     	21250185	        47.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=100000/keysize=64-16                               	31023472	        36.98 ns/op	      72 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=100000/keysize=128-16                     	 5156066	       199.3 ns/op	       1 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=128-16    	27992682	        54.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=100000/keysize=128-16                              	23928614	        42.63 ns/op	      72 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=100000/keysize=256-16                     	 4948962	       256.9 ns/op	       1 B/op	       0 allocs/op
